N°	Pathologie / Indication	Traitement	Médicament	Posologie (enfant) sécurisée	Symptômes
1	Anesthésie générale	Anesthésique général	Halothane (inhalation)	Selon protocole d'anesthésie	Perte de conscience, analgésie, amnésie
2	Anesthésie générale	Anesthésique général	Isoflurane (inhalation)	Selon protocole d'anesthésie	Perte de conscience, analgésie, amnésie
3	Anesthésie générale	Oxygénothérapie	Oxygène (inhalation)	Selon besoin clinique (viser SpO2 >= 94%)	Détresse respiratoire sévère
4	Anesthésie générale	Anesthésique général IV	Kétamine (IV/IM)	IV : 1 à 2 mg/kg ; IM : 4 à 8 mg/kg	Perte de conscience, analgésie, amnésie
5	Anesthésie locale	Anesthésique local	Lidocaine 1-2% (injection)	Max : 3 à 5 mg/kg (sans épinéphrine)	Douleur localisée, perte de sensibilité
6	Prémédication	Anticholinergique	Atropine (IV/IM/SC)	0,01 à 0,02 mg/kg	Bradycardie, hypersalivation
7	Sédation consciente	Sédatif	Midazolam (oral/buvable)	0,25 à 0,5 mg/kg (max 10-15 mg)	Anxiété, agitation
8	Douleur légère à modérée	Antalgique antipyrétique	Paracétamol (oral)	15 mg/kg toutes les 6 heures (max 60 mg/kg/j)	Céphalées, douleurs dentaires, myalgies
9	Douleur modérée (inflammatoire)	AINS	Ibuprofène (>3 mois) (oral)	5 à 10 mg/kg toutes les 6 à 8 heures (max 30 mg/kg/j)	Douleur inflammatoire, fièvre
10	Rhumatisme articulaire aigu	Anti-inflammatoire	Acide acétylsalicylique (oral)	50 à 100 mg/kg/jour divisés en 4 prises	Arthrite, cardite, chorée, érythème marginé
11	Maladie de Kawasaki	Anti-inflammatoire	Acide acétylsalicylique (oral)	Phase aiguë : 30 à 50 mg/kg/j ; Entretien : 3 à 5 mg/kg/j	Fièvre >5j, conjonctivite, éruption, adénopathie
12	Douleur sévère	Opioïde	Morphine (oral/injection)	IV : 0,05 à 0,1 mg/kg toutes les 4h ; Oral (LI) : 0,15 à 0,3 mg/kg toutes les 4h	Douleur intense (cancer, post-op, traumatisme)
13	Douleur neuropathique	Antidépresseur tricyclique	Amitriptyline (oral)	0,1 à 0,5 mg/kg une fois par jour au coucher	Brûlures, décharges électriques, allodynie
14	Réaction allergique (urticaire)	Antihistaminique	Chlorphénamine (>1 an) (oral/buvable)	0,1 mg/kg toutes les 6 à 8 heures (max 12 mg/j)	Urticaire, prurit, érythème
15	Anaphylaxie (choc)	Sympathomimétique	Épinéphrine (Adrénaline) (IM)	0,01 mg/kg IM unique (soit 0,01 ml/kg de la sol. 1:1000)	Hypotension, dyspnée, œdème de Quincke
16	Allergie sévère / Œdème cérébral	Corticostéroïde	Dexaméthasone (IV/oral)	Selon indication (ex: 0,15 à 0,6 mg/kg/jour)	Œdème cérébral, hypertension intracrânienne
17	Réaction allergique sévère	Corticostéroïde	Hydrocortisone (IV)	4 à 8 mg/kg toutes les 6 heures	Bronchospasme, hypotension
18	Inflammation allergique chronique	Corticostéroïde oral	Prednisolone (oral)	1 à 2 mg/kg/jour en 1 ou 2 prises	Asthme allergique, dermatite atopique
19	Intoxication médicamenteuse aiguë	Adsorbant	Charbon activé (oral)	1 g/kg (dose unique, au plus tôt après ingestion)	Ingestion de médicament toxique
20	Intoxication au paracétamol	Antidote	Acétylcystéine (oral/IV)	Protocole IV : 150 mg/kg puis 50 mg/kg puis 100 mg/kg	Nausées, vomissements, hépatotoxicité
21	Intoxication aux organophosphorés	Anticholinergique	Atropine (IV)	0,02 à 0,05 mg/kg toutes les 10-15 min jusqu'à atropinisation	Salivation, larmoiement, convulsions
22	Intoxication au sulfate de magnésium	Antidote calcique	Gluconate de calcium (IV)	0,5 ml/kg (max 10 ml) IV lente de la solution à 10%	Hypotension, dépression respiratoire, aréflexie
23	Intoxication aux opioïdes	Antagoniste des opioïdes	Naloxone (IV)	0,01 à 0,1 mg/kg IV, à répéter selon besoin	Dépression respiratoire, myosis, coma
24	Intoxication aux métaux lourds	Chélateur	Dimercaprol (BAL) (IM)	2,5 à 5 mg/kg toutes les 4 à 6 heures (selon protocole)	Encéphalopathie, neuropathie, douleurs abdominales
25	Intoxication au plomb	Chélateur oral	Succimer (oral)	10 mg/kg toutes les 8h (pendant 5j) puis toutes les 12h	Irritabilité, douleurs abdominales, encéphalopathie
26	Surcharge en fer (thalassémie)	Chélateur du fer	Déféroxamine (SC/IV)	20 à 40 mg/kg/jour en perfusion lente (SC ou IV)	Cardiopathie, hépatopathie, diabète (post-transfusionnel)
