nom,symbole,facteur,prix_achat,prix_vente,medicament_id,is_default
Comprimé,Cp,1,,,DAFALGAN 500 mg,1
Comprimé,Cp,1,,,DOLIPRANE 500 mg,1
Comprimé,Cp,1,,,DOLKO 500 mg,1
Comprimé effervescent,Cp eff,1,,,EFFERALGANMED 500 mg,1
Comprimé,Cp,1,,,CLARADOL 500 mg,1
Gélule,Gél,1,,,GELUPRANE 500 mg,1
Lyoc,Lyoc,1,,,PARALYOC 500 mg,1
Comprimé,Cp,1,,,DAFALGAN 1 g,1
Comprimé,Cp,1,,,DOLKO 1 g,1
Comprimé/Gélule,Cp/Gél,1,,,DOLIPRANE 1 000 mg,1
Comprimé effervescent,Cp eff,1,,,EFFERALGANMED 1 000 mg,1
Comprimé effervescent,Cp eff,1,,,DOLIPRANE VITAMINE C,1
Comprimé,Cp,1,,,CLARADOL Caféiné,1
Comprimé,Cp,1,,,PRONTADOL,1
Suppositoire,Suppo,1,,,DOLIPRANE 1 000 mg suppos,1
Suppositoire,Suppo,1,,,DAFALGAN 600 mg suppos,1
Perfusion IV,Perf,1,,,PERFALGAN 1 000 mg,1
Poudre,Poudre,1,,,DAFALGAN Poudre,1
Poudre,Poudre,1,,,DOUPRANE Poudre,1
Poudre,Poudre,1,,,EFFERALGAN Poudre,1
Comprimé,Cp,1,,,EFFERALGANMED 250 mg,1
Lyoc,Lyoc,1,,,PARALYOC 250 mg,1
Solution,Sol,1,,,DAFALGAN Solution buvable,1
Suspension,Susp,1,,,DOUPRANE Suspension buvable,1
Solution buvable,Sol buv,1,,,EFFERALGAN Pédiatrique,1
Solution,Sol,1,,,DOLKO Solution buvable,1
Suspension,Susp,1,,,DOLSTIC Suspension buvable,1
Suppositoire,Suppo,1,,,EFFERALGANMED Suppositoires,1
Suppositoire,Suppo,1,,,DOLIPRANE Suppositoires,1
Perfusion IV,Perf,1,,,PERFALGAN ENFANTS,1
Sachet,Sach,1,,,ASPÉGIC 500 mg,1
Sachet,Sach,1,,,ASPÉGIC 1 000 mg,1
Comprimé effervescent,Cp eff,1,,,ASPIRINE 500 mg,1
Comprimé effervescent,Cp eff,1,,,ASPIRINE 1 000 mg,1
Sachet,Sach,1,,,MIGPRIV,1
Sachet,Sach,1,,,ASPÉGIC 250 mg,1
Sachet,Sach,1,,,ASPÉGIC 100 mg,1
Injectable,Inj,1,,,ASPÉGIC Injectable,1
Ampoule,Amp,1,,,ACUPAN,1
Comprimé,Cp,1,,,DICODIN LP 60 mg,1
Comprimé,Cp,1,,,PADERYL,1
Comprimé,Cp,1,,,CODOLIPRANE,1
Comprimé,Cp,1,,,DAFALGAN-CODÉINE,1
Comprimé effervescent,Cp eff,1,,,PARACÉTAMOL-CODÉINE,1
Comprimé,Cp,1,,,KLIPAL-CODÉINE,1
Comprimé,Cp,1,,,LINDILANE,1
Comprimé,Cp,1,,,CLARADOL-CODÉINE,1
Comprimé,Cp,1,,,PRONTALGINE,1
Comprimé,Cp,1,,,ANTARÈNE-CODÉINE,1
Gélule,Gél,1,,,CONTRAMAL,1
Comprimé,Cp,1,,,TOPALGIC,1
Comprimé orodispersible,Cp orodisp,1,,,OROZAMUDOL,1
Comprimé effervescent,Cp eff,1,,,BIODALGIC,1
Comprimé effervescent,Cp eff,1,,,ZUMALGIC,1
Comprimé effervescent,Cp eff,1,,,TAKADOL,1
Gélule/Comprimé,Gél/Cp,1,,,CONTRAMAL LP,1
Gélule,Gél,1,,,MONOCRIXO LP,1
Comprimé,Cp,1,,,MONOALGIC LP,1
Solution buvable,Sol buv,1,,,CONTRAMAL Buvable,1
Ampoule,Amp,1,,,CONTRAMAL Injectable,1
Comprimé,Cp,1,,,IXPRIM,1
Comprimé,Cp,1,,,ZALDIAR,1
Comprimé,Cp,1,,,SKUDEXUM,1
Gélule,Gél,1,,,LAMALINE Gélule,1
Suppositoire,Suppo,1,,,LAMALINE Suppositoire,1
Gélule,Gél,1,,,IZALGI,1
Ampoule,Amp,1,,,MORPHINE INJECTABLE,1
Gélule,Gél,1,,,ACTISKENAN,1
Solution buvable,Sol buv,1,,,ORAMORPH,1
Comprimé,Cp,1,,,SEVREDOL,1
Comprimé/Gélule,Cp/Gél,1,,,MOSCONTIN LP,1
Gélule,Gél,1,,,SKENAN LP,1
Gélule,Gél,1,,,ZORYON,1
Gélule,Gél,1,,,SOPHIDONE LP,1
Comprimé,Cp,1,,,PALEXIA,1
Gélule/Comprimé,Gél/Cp,1,,,OXYNORM,1
Comprimé orodispersible,Cp orodisp,1,,,OXYNORMORO,1
Comprimé,Cp,1,,,OXYCONTIN LP,1
Comprimé,Cp,1,,,OXSYNIA,1
Ampoule,Amp,1,,,OXYNORM Injectable,1
Patch,Patch,1,,,DUROGÉSIC,1
Patch,Patch,1,,,MATRIFEN,1
Dispositif iontophorétique,Disp ionto,1,,,IONSYS,1
Comprimé transmuqueux,Cp transm,1,,,ACTIQ,1
Film orodispersible,Film,1,,,BREAKYL,1
Comprimé sublingual,Cp subl,1,,,ABSTRAL,1
Comprimé gingival,Cp ging,1,,,EFFENTORA,1
Comprimé sublingual,Cp subl,1,,,RECIVIT,1
Solution nasale,Sol nas,1,,,INSTANYL,1
Solution nasale,Sol nas,1,,,PECFENT,1
Ampoule,Amp,1,,,FENTANYL injectable,1
Comprimé sublingual,Cp subl,1,,,TEMGÉSIC Sublingual,1
Ampoule,Amp,1,,,TEMGÉSIC Injectable,1
Ampoule,Amp,1,,,NALBUPHINE,1
Comprimé sublingual,Cp subl,1,,,ZALVISO,1
Flacon,Fl,1,,,PRIALT,1
Bouteille,Bout,1,,,ACTYNOX,1
Bouteille,Bout,1,,,ANTASOL,1
Bouteille,Bout,1,,,ENTONOX,1
Bouteille,Bout,1,,,KALINOX,1
Bouteille,Bout,1,,,OXYNOX,1
Flacon,Fl,1,,,PENTHROX,1
Comprimé/Gélule,Cp/Gél,1,,,DEBRIDAT,1
Comprimé,Cp,1,,,DICETEL,1
Gélule/Comprimé,Gél/Cp,1,,,DUSPATALIN,1
Comprimé,Cp,1,,,SPASFON,1
Comprimé orodispersible,Cp orodisp,1,,,SPASMOCALM,1
Ampoule,Amp,1,,,PAPAVÉRINE,1
Gélule,Gél,1,,,COLPERMIN,1
Comprimé,Cp,1,,,LIBRAX,1
Ampoule,Amp,1,,,SCOBUREN,1
Ampoule,Amp,1,,,SCOPOLAMINE,1
Patch,Patch,1,,,SCOPODERM TTS,1
Comprimé/Gélule,Cp/Gél,1,,,ADVIL 200,1
